Order_ID,Line_Item,Product,Category,Quantity,Selling_Price,Unit_Cost
ORD00001,1,Bedsheet,Home & Kitchen,4,959,560
ORD00001,2,Power Bank,Electronics,2,959,580
ORD00001,3,Men's Watch,Accessories,2,1439,850
ORD00002,1,Men's T-Shirt,Clothing,1,499,280
ORD00003,1,Sunglasses,Accessories,2,611,260
ORD00004,1,Power Bank,Electronics,5,1019,580
ORD00005,1,Women's Sandals,Footwear,4,845,500
ORD00006,1,Women's Sandals,Footwear,1,917,500
ORD00006,2,Backpack,Accessories,5,917,480
ORD00007,1,Bluetooth Earbuds,Electronics,4,1631,950
ORD00007,2,Men's Jeans,Clothing,2,1019,570
ORD00008,1,Smartphone,Electronics,3,15299,12500
ORD00009,1,Water Bottle,Home & Kitchen,5,407,180
ORD00010,1,Bluetooth Earbuds,Electronics,3,1503,950
ORD00010,2,Coffee Mug,Home & Kitchen,3,281,110
ORD00011,1,Men's Wallet,Accessories,3,305,120
ORD00011,2,Men's T-Shirt,Clothing,5,509,280
ORD00012,1,Sunglasses,Accessories,1,575,260
ORD00012,2,Women's Kurti,Clothing,3,767,430
ORD00012,3,Men's T-Shirt,Clothing,5,479,280
ORD00013,1,Women's Kurti,Clothing,5,815,430
ORD00014,1,Bluetooth Earbuds,Electronics,4,1503,950
ORD00015,1,Coffee Mug,Home & Kitchen,5,299,110
ORD00015,2,Backpack,Accessories,5,899,480
ORD00016,1,Men's Watch,Accessories,3,1409,850
ORD00016,2,Women's Sandals,Footwear,1,845,500
ORD00016,3,Men's Wallet,Accessories,5,281,120
ORD00017,1,Men's Shirt,Clothing,2,699,350
ORD00017,2,Men's Watch,Accessories,5,1499,850
ORD00018,1,Women's Sandals,Footwear,2,917,500
ORD00019,1,Bedsheet,Home & Kitchen,1,959,560
ORD00019,2,Men's Wallet,Accessories,3,287,120
ORD00020,1,Men's Watch,Accessories,5,1529,850
ORD00020,2,Bluetooth Earbuds,Electronics,5,1631,950
ORD00021,1,Sunglasses,Accessories,4,599,260
ORD00021,2,Coffee Mug,Home & Kitchen,2,299,110
ORD00022,1,Men's Shirt,Clothing,3,671,350
ORD00023,1,Bedsheet,Home & Kitchen,1,999,560
ORD00023,2,Men's Wallet,Accessories,2,299,120
ORD00023,3,Sunglasses,Accessories,5,599,260
ORD00024,1,Men's Shirt,Clothing,2,699,350
ORD00025,1,Men's Watch,Accessories,2,1499,850
ORD00025,2,Smartphone,Electronics,3,14999,12500
ORD00025,3,Water Bottle,Home & Kitchen,1,399,180
ORD00026,1,Smartphone,Electronics,3,14999,12500
ORD00026,2,Men's Sneakers,Footwear,5,1299,780
ORD00027,1,Women's Sandals,Footwear,1,899,500
ORD00028,1,Men's T-Shirt,Clothing,4,469,280
ORD00028,2,Water Bottle,Home & Kitchen,2,375,180
ORD00029,1,Sunglasses,Accessories,2,611,260
ORD00030,1,Bluetooth Earbuds,Electronics,3,1599,950
ORD00031,1,Men's Sneakers,Footwear,3,1247,780
ORD00031,2,Bluetooth Earbuds,Electronics,5,1535,950
ORD00032,1,Power Bank,Electronics,3,939,580
ORD00033,1,Bedsheet,Home & Kitchen,4,1019,560
ORD00033,2,Water Bottle,Home & Kitchen,1,407,180
ORD00034,1,Smartphone,Electronics,3,14099,12500
ORD00035,1,Men's Jeans,Clothing,1,999,570
ORD00035,2,Men's Shirt,Clothing,5,699,350
ORD00036,1,Men's Watch,Accessories,5,1499,850
ORD00037,1,Men's Shirt,Clothing,1,713,350
ORD00038,1,Bedsheet,Home & Kitchen,4,1019,560
ORD00039,1,Water Bottle,Home & Kitchen,2,399,180
ORD00039,2,Backpack,Accessories,2,899,480
ORD00039,3,Power Bank,Electronics,5,999,580
ORD00040,1,Men's Watch,Accessories,3,1529,850
ORD00040,2,Men's Sneakers,Footwear,4,1325,780
ORD00040,3,Bedsheet,Home & Kitchen,4,1019,560
ORD00041,1,Men's Jeans,Clothing,1,1019,570
ORD00042,1,Women's Kurti,Clothing,4,815,430
ORD00042,2,Smartphone,Electronics,4,15299,12500
ORD00043,1,Backpack,Accessories,5,899,480
ORD00043,2,Bluetooth Earbuds,Electronics,2,1599,950
ORD00043,3,Men's Sneakers,Footwear,4,1299,780
ORD00044,1,Men's Shirt,Clothing,3,699,350
ORD00045,1,Men's Wallet,Accessories,1,287,120
ORD00045,2,Coffee Mug,Home & Kitchen,5,287,110
ORD00046,1,Women's Kurti,Clothing,3,815,430
ORD00047,1,Men's T-Shirt,Clothing,5,499,280
ORD00047,2,Men's Sneakers,Footwear,1,1299,780
ORD00048,1,Men's Wallet,Accessories,3,305,120
ORD00048,2,Sunglasses,Accessories,2,611,260
ORD00048,3,Women's Kurti,Clothing,2,815,430
ORD00049,1,Men's Wallet,Accessories,5,305,120
ORD00050,1,Men's T-Shirt,Clothing,2,499,280
ORD00051,1,Water Bottle,Home & Kitchen,3,375,180
ORD00052,1,Bluetooth Earbuds,Electronics,4,1631,950
ORD00052,2,Men's Wallet,Accessories,2,305,120
ORD00052,3,Smartphone,Electronics,2,15299,12500
ORD00053,1,Bedsheet,Home & Kitchen,2,999,560
ORD00053,2,Sunglasses,Accessories,1,599,260
ORD00053,3,Men's Jeans,Clothing,1,999,570
ORD00054,1,Men's Jeans,Clothing,4,1019,570
ORD00054,2,Men's T-Shirt,Clothing,4,509,280
ORD00055,1,Sunglasses,Accessories,4,599,260
ORD00056,1,Men's Watch,Accessories,5,1409,850
ORD00056,2,Sunglasses,Accessories,4,563,260
ORD00057,1,Men's Watch,Accessories,5,1529,850
ORD00057,2,Bedsheet,Home & Kitchen,1,1019,560
ORD00057,3,Men's Wallet,Accessories,2,305,120
ORD00058,1,Sunglasses,Accessories,2,611,260
ORD00058,2,Men's Shirt,Clothing,3,713,350
ORD00059,1,Water Bottle,Home & Kitchen,1,407,180
ORD00060,1,Bluetooth Earbuds,Electronics,4,1631,950
ORD00061,1,Men's Shirt,Clothing,5,657,350
ORD00062,1,Bluetooth Earbuds,Electronics,4,1631,950
ORD00063,1,Coffee Mug,Home & Kitchen,5,299,110
ORD00063,2,Men's T-Shirt,Clothing,3,499,280
ORD00063,3,Women's Kurti,Clothing,3,799,430
ORD00064,1,Men's Jeans,Clothing,2,959,570
ORD00064,2,Women's Sandals,Footwear,4,863,500
ORD00064,3,Backpack,Accessories,1,863,480
ORD00065,1,Bluetooth Earbuds,Electronics,5,1631,950
ORD00066,1,Women's Kurti,Clothing,5,799,430
ORD00067,1,Backpack,Accessories,3,899,480
ORD00068,1,Backpack,Accessories,4,845,480
ORD00068,2,Men's Sneakers,Footwear,5,1221,780
ORD00069,1,Men's T-Shirt,Clothing,4,499,280
ORD00070,1,Smartphone,Electronics,5,14999,12500
ORD00071,1,Men's Jeans,Clothing,2,939,570
ORD00072,1,Coffee Mug,Home & Kitchen,2,305,110
ORD00072,2,Bedsheet,Home & Kitchen,3,1019,560
ORD00072,3,Smartphone,Electronics,5,15299,12500
ORD00073,1,Backpack,Accessories,1,899,480
ORD00074,1,Men's Watch,Accessories,4,1409,850
ORD00074,2,Men's Wallet,Accessories,5,281,120
ORD00074,3,Men's Shirt,Clothing,5,657,350
ORD00075,1,Power Bank,Electronics,3,1019,580
ORD00076,1,Bluetooth Earbuds,Electronics,4,1599,950
ORD00076,2,Coffee Mug,Home & Kitchen,2,299,110
ORD00077,1,Men's Wallet,Accessories,1,299,120
ORD00077,2,Backpack,Accessories,4,899,480
ORD00078,1,Women's Sandals,Footwear,2,899,500
ORD00079,1,Men's Sneakers,Footwear,4,1325,780
ORD00080,1,Women's Kurti,Clothing,1,767,430
ORD00081,1,Men's Sneakers,Footwear,3,1247,780
ORD00082,1,Men's Watch,Accessories,3,1499,850
ORD00083,1,Bedsheet,Home & Kitchen,2,999,560
ORD00084,1,Women's Kurti,Clothing,2,799,430
ORD00085,1,Bluetooth Earbuds,Electronics,5,1503,950
ORD00085,2,Water Bottle,Home & Kitchen,2,375,180
ORD00085,3,Men's Shirt,Clothing,5,657,350
ORD00086,1,Women's Kurti,Clothing,3,815,430
ORD00087,1,Sunglasses,Accessories,3,563,260
ORD00087,2,Men's Wallet,Accessories,1,281,120
ORD00088,1,Women's Sandals,Footwear,2,917,500
ORD00088,2,Backpack,Accessories,5,917,480
ORD00088,3,Bedsheet,Home & Kitchen,2,1019,560
ORD00089,1,Men's T-Shirt,Clothing,5,469,280
ORD00089,2,Women's Kurti,Clothing,3,751,430
ORD00090,1,Men's Sneakers,Footwear,1,1325,780
ORD00091,1,Men's Watch,Accessories,1,1499,850
ORD00092,1,Power Bank,Electronics,3,939,580
ORD00092,2,Water Bottle,Home & Kitchen,3,375,180
ORD00093,1,Men's T-Shirt,Clothing,5,509,280
ORD00094,1,Men's Watch,Accessories,3,1409,850
ORD00094,2,Men's Sneakers,Footwear,2,1221,780
ORD00095,1,Men's Jeans,Clothing,1,1019,570
ORD00096,1,Men's Jeans,Clothing,2,959,570
ORD00097,1,Men's Shirt,Clothing,1,713,350
ORD00097,2,Women's Sandals,Footwear,2,917,500
ORD00097,3,Men's T-Shirt,Clothing,5,509,280
ORD00098,1,Backpack,Accessories,3,899,480
ORD00099,1,Water Bottle,Home & Kitchen,5,383,180
ORD00100,1,Bluetooth Earbuds,Electronics,3,1631,950
ORD00100,2,Water Bottle,Home & Kitchen,1,407,180
ORD00101,1,Men's T-Shirt,Clothing,4,469,280
ORD00101,2,Smartphone,Electronics,5,14099,12500
ORD00102,1,Bluetooth Earbuds,Electronics,4,1599,950
