Order_ID,Line_Item,Product,Category,Quantity,Selling_Price,Unit_Cost,Revenue,Total_Cost,Profit,Profit_Margin
ORD00001,1,Bedsheet,Home & Kitchen,4,959,560,3836,2240,1596,41.605839416058394
ORD00001,2,Power Bank,Electronics,2,959,580,1918,1160,758,39.520333680917624
ORD00001,3,Men's Watch,Accessories,2,1439,850,2878,1700,1178,40.931202223766505
ORD00002,1,Men's T-Shirt,Clothing,1,499,280,499,280,219,43.8877755511022
ORD00003,1,Sunglasses,Accessories,2,611,260,1222,520,702,57.446808510638306
ORD00004,1,Power Bank,Electronics,5,1019,580,5095,2900,2195,43.08145240431796
ORD00005,1,Women's Sandals,Footwear,4,845,500,3380,2000,1380,40.828402366863905
ORD00006,1,Women's Sandals,Footwear,1,917,500,917,500,417,45.47437295528899
ORD00006,2,Backpack,Accessories,5,917,480,4585,2400,2185,47.655398037077425
ORD00007,1,Bluetooth Earbuds,Electronics,4,1631,950,6524,3800,2724,41.75352544451257
ORD00007,2,Men's Jeans,Clothing,2,1019,570,2038,1140,898,44.062806673209025
ORD00008,1,Smartphone,Electronics,3,15299,12500,45897,37500,8397,18.295313419177724
ORD00009,1,Water Bottle,Home & Kitchen,5,407,180,2035,900,1135,55.77395577395578
ORD00010,1,Bluetooth Earbuds,Electronics,3,1503,950,4509,2850,1659,36.793080505655354
ORD00010,2,Coffee Mug,Home & Kitchen,3,281,110,843,330,513,60.854092526690394
ORD00011,1,Men's Wallet,Accessories,3,305,120,915,360,555,60.65573770491803
ORD00011,2,Men's T-Shirt,Clothing,5,509,280,2545,1400,1145,44.9901768172888
ORD00012,1,Sunglasses,Accessories,1,575,260,575,260,315,54.78260869565217
ORD00012,2,Women's Kurti,Clothing,3,767,430,2301,1290,1011,43.9374185136897
ORD00012,3,Men's T-Shirt,Clothing,5,479,280,2395,1400,995,41.544885177453025
ORD00013,1,Women's Kurti,Clothing,5,815,430,4075,2150,1925,47.239263803680984
ORD00014,1,Bluetooth Earbuds,Electronics,4,1503,950,6012,3800,2212,36.793080505655354
ORD00015,1,Coffee Mug,Home & Kitchen,5,299,110,1495,550,945,63.21070234113713
ORD00015,2,Backpack,Accessories,5,899,480,4495,2400,2095,46.60734149054505
ORD00016,1,Men's Watch,Accessories,3,1409,850,4227,2550,1677,39.6735273243435
ORD00016,2,Women's Sandals,Footwear,1,845,500,845,500,345,40.828402366863905
ORD00016,3,Men's Wallet,Accessories,5,281,120,1405,600,805,57.29537366548043
ORD00017,1,Men's Shirt,Clothing,2,699,350,1398,700,698,49.92846924177397
ORD00017,2,Men's Watch,Accessories,5,1499,850,7495,4250,3245,43.29553035356904
ORD00018,1,Women's Sandals,Footwear,2,917,500,1834,1000,834,45.47437295528899
ORD00019,1,Bedsheet,Home & Kitchen,1,959,560,959,560,399,41.605839416058394
ORD00019,2,Men's Wallet,Accessories,3,287,120,861,360,501,58.18815331010453
ORD00020,1,Men's Watch,Accessories,5,1529,850,7645,4250,3395,44.408109875735775
ORD00020,2,Bluetooth Earbuds,Electronics,5,1631,950,8155,4750,3405,41.75352544451257
ORD00021,1,Sunglasses,Accessories,4,599,260,2396,1040,1356,56.594323873121866
ORD00021,2,Coffee Mug,Home & Kitchen,2,299,110,598,220,378,63.21070234113713
ORD00022,1,Men's Shirt,Clothing,3,671,350,2013,1050,963,47.83904619970194
ORD00023,1,Bedsheet,Home & Kitchen,1,999,560,999,560,439,43.94394394394394
ORD00023,2,Men's Wallet,Accessories,2,299,120,598,240,358,59.86622073578596
ORD00023,3,Sunglasses,Accessories,5,599,260,2995,1300,1695,56.594323873121866
ORD00024,1,Men's Shirt,Clothing,2,699,350,1398,700,698,49.92846924177397
ORD00025,1,Men's Watch,Accessories,2,1499,850,2998,1700,1298,43.29553035356904
ORD00025,2,Smartphone,Electronics,3,14999,12500,44997,37500,7497,16.661110740716047
ORD00025,3,Water Bottle,Home & Kitchen,1,399,180,399,180,219,54.88721804511278
ORD00026,1,Smartphone,Electronics,3,14999,12500,44997,37500,7497,16.661110740716047
ORD00026,2,Men's Sneakers,Footwear,5,1299,780,6495,3900,2595,39.95381062355658
ORD00027,1,Women's Sandals,Footwear,1,899,500,899,500,399,44.38264738598443
ORD00028,1,Men's T-Shirt,Clothing,4,469,280,1876,1120,756,40.298507462686565
ORD00028,2,Water Bottle,Home & Kitchen,2,375,180,750,360,390,52.0
ORD00029,1,Sunglasses,Accessories,2,611,260,1222,520,702,57.446808510638306
ORD00030,1,Bluetooth Earbuds,Electronics,3,1599,950,4797,2850,1947,40.58786741713571
ORD00031,1,Men's Sneakers,Footwear,3,1247,780,3741,2340,1401,37.44987971130714
ORD00031,2,Bluetooth Earbuds,Electronics,5,1535,950,7675,4750,2925,38.11074918566775
ORD00032,1,Power Bank,Electronics,3,939,580,2817,1740,1077,38.232161874334395
ORD00033,1,Bedsheet,Home & Kitchen,4,1019,560,4076,2240,1836,45.0441609421001
ORD00033,2,Water Bottle,Home & Kitchen,1,407,180,407,180,227,55.77395577395578
ORD00034,1,Smartphone,Electronics,3,14099,12500,42297,37500,4797,11.34122987445918
ORD00035,1,Men's Jeans,Clothing,1,999,570,999,570,429,42.94294294294294
ORD00035,2,Men's Shirt,Clothing,5,699,350,3495,1750,1745,49.92846924177397
ORD00036,1,Men's Watch,Accessories,5,1499,850,7495,4250,3245,43.29553035356904
ORD00037,1,Men's Shirt,Clothing,1,713,350,713,350,363,50.911640953716685
ORD00038,1,Bedsheet,Home & Kitchen,4,1019,560,4076,2240,1836,45.0441609421001
ORD00039,1,Water Bottle,Home & Kitchen,2,399,180,798,360,438,54.88721804511278
ORD00039,2,Backpack,Accessories,2,899,480,1798,960,838,46.60734149054505
ORD00039,3,Power Bank,Electronics,5,999,580,4995,2900,2095,41.94194194194194
ORD00040,1,Men's Watch,Accessories,3,1529,850,4587,2550,2037,44.408109875735775
ORD00040,2,Men's Sneakers,Footwear,4,1325,780,5300,3120,2180,41.132075471698116
ORD00040,3,Bedsheet,Home & Kitchen,4,1019,560,4076,2240,1836,45.0441609421001
ORD00041,1,Men's Jeans,Clothing,1,1019,570,1019,570,449,44.062806673209025
ORD00042,1,Women's Kurti,Clothing,4,815,430,3260,1720,1540,47.239263803680984
ORD00042,2,Smartphone,Electronics,4,15299,12500,61196,50000,11196,18.295313419177724
ORD00043,1,Backpack,Accessories,5,899,480,4495,2400,2095,46.60734149054505
ORD00043,2,Bluetooth Earbuds,Electronics,2,1599,950,3198,1900,1298,40.58786741713571
ORD00043,3,Men's Sneakers,Footwear,4,1299,780,5196,3120,2076,39.95381062355658
ORD00044,1,Men's Shirt,Clothing,3,699,350,2097,1050,1047,49.92846924177397
ORD00045,1,Men's Wallet,Accessories,1,287,120,287,120,167,58.18815331010453
ORD00045,2,Coffee Mug,Home & Kitchen,5,287,110,1435,550,885,61.672473867595826
ORD00046,1,Women's Kurti,Clothing,3,815,430,2445,1290,1155,47.239263803680984
ORD00047,1,Men's T-Shirt,Clothing,5,499,280,2495,1400,1095,43.8877755511022
ORD00047,2,Men's Sneakers,Footwear,1,1299,780,1299,780,519,39.95381062355658
ORD00048,1,Men's Wallet,Accessories,3,305,120,915,360,555,60.65573770491803
ORD00048,2,Sunglasses,Accessories,2,611,260,1222,520,702,57.446808510638306
ORD00048,3,Women's Kurti,Clothing,2,815,430,1630,860,770,47.239263803680984
ORD00049,1,Men's Wallet,Accessories,5,305,120,1525,600,925,60.65573770491803
ORD00050,1,Men's T-Shirt,Clothing,2,499,280,998,560,438,43.8877755511022
ORD00051,1,Water Bottle,Home & Kitchen,3,375,180,1125,540,585,52.0
ORD00052,1,Bluetooth Earbuds,Electronics,4,1631,950,6524,3800,2724,41.75352544451257
ORD00052,2,Men's Wallet,Accessories,2,305,120,610,240,370,60.65573770491803
ORD00052,3,Smartphone,Electronics,2,15299,12500,30598,25000,5598,18.295313419177724
ORD00053,1,Bedsheet,Home & Kitchen,2,999,560,1998,1120,878,43.94394394394394
ORD00053,2,Sunglasses,Accessories,1,599,260,599,260,339,56.594323873121866
ORD00053,3,Men's Jeans,Clothing,1,999,570,999,570,429,42.94294294294294
ORD00054,1,Men's Jeans,Clothing,4,1019,570,4076,2280,1796,44.062806673209025
ORD00054,2,Men's T-Shirt,Clothing,4,509,280,2036,1120,916,44.9901768172888
ORD00055,1,Sunglasses,Accessories,4,599,260,2396,1040,1356,56.594323873121866
ORD00056,1,Men's Watch,Accessories,5,1409,850,7045,4250,2795,39.6735273243435
ORD00056,2,Sunglasses,Accessories,4,563,260,2252,1040,1212,53.818827708703374
ORD00057,1,Men's Watch,Accessories,5,1529,850,7645,4250,3395,44.408109875735775
ORD00057,2,Bedsheet,Home & Kitchen,1,1019,560,1019,560,459,45.0441609421001
ORD00057,3,Men's Wallet,Accessories,2,305,120,610,240,370,60.65573770491803
ORD00058,1,Sunglasses,Accessories,2,611,260,1222,520,702,57.446808510638306
ORD00058,2,Men's Shirt,Clothing,3,713,350,2139,1050,1089,50.911640953716685
ORD00059,1,Water Bottle,Home & Kitchen,1,407,180,407,180,227,55.77395577395578
ORD00060,1,Bluetooth Earbuds,Electronics,4,1631,950,6524,3800,2724,41.75352544451257
ORD00061,1,Men's Shirt,Clothing,5,657,350,3285,1750,1535,46.727549467275495
ORD00062,1,Bluetooth Earbuds,Electronics,4,1631,950,6524,3800,2724,41.75352544451257
ORD00063,1,Coffee Mug,Home & Kitchen,5,299,110,1495,550,945,63.21070234113713
ORD00063,2,Men's T-Shirt,Clothing,3,499,280,1497,840,657,43.8877755511022
ORD00063,3,Women's Kurti,Clothing,3,799,430,2397,1290,1107,46.18272841051314
ORD00064,1,Men's Jeans,Clothing,2,959,570,1918,1140,778,40.56308654848801
ORD00064,2,Women's Sandals,Footwear,4,863,500,3452,2000,1452,42.06257242178447
ORD00064,3,Backpack,Accessories,1,863,480,863,480,383,44.3800695249131
ORD00065,1,Bluetooth Earbuds,Electronics,5,1631,950,8155,4750,3405,41.75352544451257
ORD00066,1,Women's Kurti,Clothing,5,799,430,3995,2150,1845,46.18272841051314
ORD00067,1,Backpack,Accessories,3,899,480,2697,1440,1257,46.60734149054505
ORD00068,1,Backpack,Accessories,4,845,480,3380,1920,1460,43.19526627218935
ORD00068,2,Men's Sneakers,Footwear,5,1221,780,6105,3900,2205,36.11793611793612
ORD00069,1,Men's T-Shirt,Clothing,4,499,280,1996,1120,876,43.8877755511022
ORD00070,1,Smartphone,Electronics,5,14999,12500,74995,62500,12495,16.661110740716047
ORD00071,1,Men's Jeans,Clothing,2,939,570,1878,1140,738,39.29712460063898
ORD00072,1,Coffee Mug,Home & Kitchen,2,305,110,610,220,390,63.934426229508205
ORD00072,2,Bedsheet,Home & Kitchen,3,1019,560,3057,1680,1377,45.0441609421001
ORD00072,3,Smartphone,Electronics,5,15299,12500,76495,62500,13995,18.295313419177724
ORD00073,1,Backpack,Accessories,1,899,480,899,480,419,46.60734149054505
ORD00074,1,Men's Watch,Accessories,4,1409,850,5636,3400,2236,39.6735273243435
ORD00074,2,Men's Wallet,Accessories,5,281,120,1405,600,805,57.29537366548043
ORD00074,3,Men's Shirt,Clothing,5,657,350,3285,1750,1535,46.727549467275495
ORD00075,1,Power Bank,Electronics,3,1019,580,3057,1740,1317,43.08145240431796
ORD00076,1,Bluetooth Earbuds,Electronics,4,1599,950,6396,3800,2596,40.58786741713571
ORD00076,2,Coffee Mug,Home & Kitchen,2,299,110,598,220,378,63.21070234113713
ORD00077,1,Men's Wallet,Accessories,1,299,120,299,120,179,59.86622073578596
ORD00077,2,Backpack,Accessories,4,899,480,3596,1920,1676,46.60734149054505
ORD00078,1,Women's Sandals,Footwear,2,899,500,1798,1000,798,44.38264738598443
ORD00079,1,Men's Sneakers,Footwear,4,1325,780,5300,3120,2180,41.132075471698116
ORD00080,1,Women's Kurti,Clothing,1,767,430,767,430,337,43.9374185136897
ORD00081,1,Men's Sneakers,Footwear,3,1247,780,3741,2340,1401,37.44987971130714
ORD00082,1,Men's Watch,Accessories,3,1499,850,4497,2550,1947,43.29553035356904
ORD00083,1,Bedsheet,Home & Kitchen,2,999,560,1998,1120,878,43.94394394394394
ORD00084,1,Women's Kurti,Clothing,2,799,430,1598,860,738,46.18272841051314
ORD00085,1,Bluetooth Earbuds,Electronics,5,1503,950,7515,4750,2765,36.793080505655354
ORD00085,2,Water Bottle,Home & Kitchen,2,375,180,750,360,390,52.0
ORD00085,3,Men's Shirt,Clothing,5,657,350,3285,1750,1535,46.727549467275495
ORD00086,1,Women's Kurti,Clothing,3,815,430,2445,1290,1155,47.239263803680984
ORD00087,1,Sunglasses,Accessories,3,563,260,1689,780,909,53.818827708703374
ORD00087,2,Men's Wallet,Accessories,1,281,120,281,120,161,57.29537366548043
ORD00088,1,Women's Sandals,Footwear,2,917,500,1834,1000,834,45.47437295528899
ORD00088,2,Backpack,Accessories,5,917,480,4585,2400,2185,47.655398037077425
ORD00088,3,Bedsheet,Home & Kitchen,2,1019,560,2038,1120,918,45.0441609421001
ORD00089,1,Men's T-Shirt,Clothing,5,469,280,2345,1400,945,40.298507462686565
ORD00089,2,Women's Kurti,Clothing,3,751,430,2253,1290,963,42.743009320905465
ORD00090,1,Men's Sneakers,Footwear,1,1325,780,1325,780,545,41.132075471698116
ORD00091,1,Men's Watch,Accessories,1,1499,850,1499,850,649,43.29553035356904
ORD00092,1,Power Bank,Electronics,3,939,580,2817,1740,1077,38.232161874334395
ORD00092,2,Water Bottle,Home & Kitchen,3,375,180,1125,540,585,52.0
ORD00093,1,Men's T-Shirt,Clothing,5,509,280,2545,1400,1145,44.9901768172888
ORD00094,1,Men's Watch,Accessories,3,1409,850,4227,2550,1677,39.6735273243435
ORD00094,2,Men's Sneakers,Footwear,2,1221,780,2442,1560,882,36.11793611793612
ORD00095,1,Men's Jeans,Clothing,1,1019,570,1019,570,449,44.062806673209025
ORD00096,1,Men's Jeans,Clothing,2,959,570,1918,1140,778,40.56308654848801
ORD00097,1,Men's Shirt,Clothing,1,713,350,713,350,363,50.911640953716685
ORD00097,2,Women's Sandals,Footwear,2,917,500,1834,1000,834,45.47437295528899
ORD00097,3,Men's T-Shirt,Clothing,5,509,280,2545,1400,1145,44.9901768172888
ORD00098,1,Backpack,Accessories,3,899,480,2697,1440,1257,46.60734149054505
ORD00099,1,Water Bottle,Home & Kitchen,5,383,180,1915,900,1015,53.00261096605744
ORD00100,1,Bluetooth Earbuds,Electronics,3,1631,950,4893,2850,2043,41.75352544451257
