Order_ID,Order_Date,Customer_ID,Platform,State,City
ORD00001,2025-02-24,CUST0065,Shopsy,Kerala,Thiruvananthapuram
ORD00002,2026-04-16,CUST0021,Flipkart,Gujarat,Surat
ORD00003,2026-02-02,CUST0039,Amazon,Kerala,Thiruvananthapuram
ORD00004,2025-09-24,CUST0087,Amazon,Delhi,New Delhi
ORD00005,2025-09-21,CUST0414,Meesho,Karnataka,Mysuru
ORD00006,2026-06-07,CUST0301,Amazon,Maharashtra,Mumbai
ORD00007,2025-02-22,CUST0387,Amazon,Delhi,New Delhi
ORD00008,2026-02-28,CUST0338,Amazon,Uttar Pradesh,Noida
ORD00009,2025-05-03,CUST0082,Amazon,Delhi,New Delhi
ORD00010,2025-02-27,CUST0278,Meesho,Uttar Pradesh,Kanpur
ORD00011,2025-11-17,CUST0418,Amazon,Kerala,Kochi
ORD00012,2026-08-17,CUST0091,Shopsy,Maharashtra,Mumbai
ORD00013,2026-03-24,CUST0247,Amazon,Gujarat,Surat
ORD00014,2026-04-08,CUST0319,Meesho,Kerala,Thiruvananthapuram
ORD00015,2026-03-13,CUST0030,Flipkart,Rajasthan,Udaipur
ORD00016,2026-04-23,CUST0345,Meesho,Telangana,Hyderabad
ORD00017,2025-11-09,CUST0424,Flipkart,Telangana,Hyderabad
ORD00018,2025-03-19,CUST0316,Amazon,Uttar Pradesh,Noida
ORD00019,2026-05-26,CUST0013,Shopsy,Maharashtra,Mumbai
ORD00020,2025-10-01,CUST0086,Amazon,Gujarat,Ahmedabad
ORD00021,2025-11-01,CUST0493,Flipkart,West Bengal,Kolkata
ORD00022,2025-08-14,CUST0392,Shopsy,Uttar Pradesh,Noida
ORD00023,2025-04-21,CUST0221,Flipkart,Rajasthan,Udaipur
ORD00024,2026-07-18,CUST0375,Flipkart,Rajasthan,Udaipur
ORD00025,2026-04-21,CUST0389,Flipkart,Karnataka,Mysuru
ORD00026,2026-01-27,CUST0043,Flipkart,Rajasthan,Udaipur
ORD00027,2025-09-02,CUST0477,Flipkart,Tamil Nadu,Chennai
ORD00028,2026-05-16,CUST0329,Meesho,Uttar Pradesh,Kanpur
