Product,Units_Sold,Revenue,Profit
Smartphone,295,4400405,712905
Bluetooth Earbuds,365,580243,233493
Men's Watch,295,437555,186805
Men's Sneakers,320,410584,160984
Bedsheet,298,294622,127742
Women's Kurti,370,292318,133218
Power Bank,291,287849,119069
Women's Sandals,323,287497,125997
Backpack,309,276423,128103
Men's Shirt,354,244492,120592
Men's Jeans,231,229849,98179
Sunglasses,323,192145,108165
Men's T-Shirt,353,174547,75707
Water Bottle,311,123105,67125
Men's Wallet,354,104562,62082
Coffee Mug,303,89631,56301
