Month,Category,Sales_Target
2025-01,Accessories,264029
2025-01,Clothing,320868
2025-01,Electronics,504717
2025-01,Footwear,329157
2025-01,Home & Kitchen,230264
2025-02,Accessories,295706
2025-02,Clothing,417350
2025-02,Electronics,506149
2025-02,Footwear,280506
2025-02,Home & Kitchen,218696
2025-03,Accessories,287778
2025-03,Clothing,337397
2025-03,Electronics,545371
2025-03,Footwear,242001
2025-03,Home & Kitchen,239499
2025-04,Accessories,276126
2025-04,Clothing,344565
2025-04,Electronics,450644
2025-04,Footwear,292169
2025-04,Home & Kitchen,243159
2025-05,Accessories,292238
2025-05,Clothing,317518
2025-05,Electronics,464638
2025-05,Footwear,318175
2025-05,Home & Kitchen,207608
2025-06,Accessories,336343
2025-06,Clothing,338071
2025-06,Electronics,458028
2025-06,Footwear,309276
2025-06,Home & Kitchen,223077
2025-07,Accessories,258284
2025-07,Clothing,415092
2025-07,Electronics,450856
2025-07,Footwear,272633
2025-07,Home & Kitchen,216629
2025-08,Accessories,306390
2025-08,Clothing,393716
2025-08,Electronics,426065
2025-08,Footwear,329382
2025-08,Home & Kitchen,236741
2025-09,Accessories,354818
2025-09,Clothing,397630
2025-09,Electronics,587371
2025-09,Footwear,296898
2025-09,Home & Kitchen,214512
2025-10,Accessories,301505
2025-10,Clothing,378108
2025-10,Electronics,499713
2025-10,Footwear,309703
2025-10,Home & Kitchen,194072
2025-11,Accessories,342148
2025-11,Clothing,322513
2025-11,Electronics,590190
2025-11,Footwear,253243
2025-11,Home & Kitchen,196945
2025-12,Accessories,340246
2025-12,Clothing,397790
2025-12,Electronics,554282
2025-12,Footwear,332131
2025-12,Home & Kitchen,207831
2026-01,Accessories,341798
2026-01,Clothing,340624
2026-01,Electronics,519044
2026-01,Footwear,281668
2026-01,Home & Kitchen,187450
2026-02,Accessories,315318
2026-02,Clothing,389069
2026-02,Electronics,455546
2026-02,Footwear,329302
2026-02,Home & Kitchen,227840
2026-03,Accessories,273715
2026-03,Clothing,376628
2026-03,Electronics,458586
2026-03,Footwear,244226
2026-03,Home & Kitchen,239769
2026-04,Accessories,266622
2026-04,Clothing,310511
2026-04,Electronics,554490
2026-04,Footwear,243409
2026-04,Home & Kitchen,249352
2026-05,Accessories,338595
2026-05,Clothing,314820
2026-05,Electronics,515716
2026-05,Footwear,247469
2026-05,Home & Kitchen,235707
2026-06,Accessories,261607
2026-06,Clothing,413198
2026-06,Electronics,461352
2026-06,Footwear,304923
2026-06,Home & Kitchen,196878
2026-07,Accessories,277007
2026-07,Clothing,352741
2026-07,Electronics,525291
2026-07,Footwear,335888
2026-07,Home & Kitchen,188996
2026-08,Accessories,255033
2026-08,Clothing,340419
2026-08,Electronics,489077
2026-08,Footwear,324616
2026-08,Home & Kitchen,257268
